ground_truth;source;similarity
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
Xiaomi;Apple;0.9714
